x, y, yaw, vel, accel, jerk, curvature, time, wheels
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.049742,0.000140,0.008408,0.100000,1.000000,0.000000,0.022087,0.100000,0.099558,0.100442
0.098026,0.001072,0.033069,0.200000,1.000000,0.000000,0.088347,0.200000,0.196466,0.203534
0.143634,0.003455,0.074902,0.300000,1.000000,0.000000,0.198780,0.300000,0.288073,0.311927
0.185597,0.007818,0.136970,0.396442,0.957865,0.000000,0.363262,0.400000,0.367640,0.425245
0.223175,0.014561,0.224507,0.489965,0.917148,0.000000,0.611196,0.500000,0.430072,0.549858
0.255845,0.023968,0.344759,0.532814,0.096120,0.000000,1.025725,0.600000,0.423510,0.642118
0.283283,0.036215,0.505387,0.477109,-0.744055,0.000000,1.712449,0.700000,0.313704,0.640514
0.305348,0.051379,0.709185,0.413411,-0.552998,0.000000,2.982333,0.800000,0.166825,0.659997
0.322065,0.069446,0.944903,0.362350,-0.447081,0.000000,5.182335,0.900000,-0.013214,0.737914
0.333611,0.090320,1.184014,0.323371,-0.356385,0.000000,8.645827,1.000000,-0.235791,0.882533
0.340296,0.113832,1.395364,0.294483,-0.217075,0.000000,11.992750,1.100000,-0.411850,1.000816
0.342549,0.139750,1.563125,0.297497,0.283496,0.000000,11.497076,1.200000,-0.386572,0.981566
0.340903,0.167785,1.687448,0.328987,0.378010,0.000000,7.751317,1.300000,-0.181030,0.839004
0.335975,0.197601,1.775348,0.370902,0.469833,0.000000,4.418982,1.400000,0.043100,0.698705
0.328452,0.228826,1.834247,0.426523,0.671377,0.000000,2.336986,1.500000,0.227168,0.625879
0.319077,0.261056,1.869726,0.497545,0.762036,0.000000,1.134055,1.600000,0.384697,0.610394
0.308629,0.293869,1.885228,0.581919,0.920507,0.000000,0.269855,1.700000,0.550512,0.613326
0.297908,0.326829,1.882253,0.552884,-0.843698,0.000000,-0.530368,1.800000,0.611530,0.494237
0.287721,0.359500,1.860515,0.472788,-0.762036,0.000000,-1.460743,1.900000,0.610912,0.334663
0.278864,0.391449,1.817906,0.407092,-0.571875,0.000000,-2.919406,2.000000,0.644786,0.169399
0.272105,0.422259,1.750302,0.355638,-0.469833,0.000000,-5.312965,2.100000,0.733537,-0.022260
0.268171,0.451536,1.651438,0.317999,-0.311860,0.000000,-9.057817,2.200000,0.894075,-0.258076
0.267727,0.478918,1.513620,0.288287,-0.283496,0.000000,-12.253105,2.300000,0.994768,-0.418195
0.271367,0.504083,1.331108,0.302616,0.298661,0.000000,-11.246123,2.400000,0.983268,-0.378036
0.279589,0.526761,1.108063,0.334950,0.356385,0.000000,-7.400184,2.500000,0.830687,-0.160788
0.292787,0.546738,0.866301,0.376875,0.447081,0.000000,-4.260417,2.600000,0.698004,0.055746
0.311229,0.563868,0.638544,0.432745,0.655733,0.000000,-2.481263,2.700000,0.647496,0.217994
0.335045,0.578082,0.448411,0.501282,0.744055,0.000000,-1.478752,2.800000,0.649537,0.353028
0.364207,0.589393,0.301606,0.529691,-0.096120,0.000000,-0.868471,2.900000,0.621696,0.437687
0.398517,0.597910,0.192864,0.460168,-0.917148,0.000000,-0.515866,3.000000,0.507645,0.412691
0.437587,0.603843,0.114310,0.365323,-0.957865,0.000000,-0.304262,3.100000,0.387553,0.343092
0.480826,0.607513,0.059283,0.267511,-1.000000,0.000000,-0.158057,3.200000,0.275968,0.259055
0.527421,0.609361,0.023262,0.167511,-1.000000,0.000000,-0.061975,3.300000,0.169588,0.165435
0.576325,0.609956,0.003874,0.067511,-1.000000,0.000000,-0.010067,3.400000,0.067647,0.067375

